18671	0	11241
15582	0	4030
19165	0	2969
31740	0	1183
15602	0	4367
33182	0	5053
5109	0	22368
20774	0	8060
36698	0	586
38212	2	121
40559	0	1311
13049	0	4990
23886	0	6769
30612	0	4411
14866	0	3633
35748	0	11399
31413	0	15186
20145	0	11015
40560	5	914
19390	0	4369
31737	0	16660
40561	0	6286
40562	0	45
14235	0	20549
15727	0	20842
28017	0	10090
21858	0	14369
34003	0	20650
6074	0	11052
10203	0	23680
40563	0	3796
27089	0	25460
38920	0	20791
26740	0	15987
33592	0	3640
21749	0	16741
40564	0	448
24780	0	39997
40565	0	1763
23647	0	1338
23277	0	13709
3947	0	12235
14576	5	2971
16880	0	18633
17282	0	228
40566	0	987
20046	0	4696
8415	2	7033
25546	5	914
2901	0	30222
13394	0	3459
11449	2	6220
16542	0	4523
24128	0	8842
10215	0	5164
23501	0	1668
29717	0	30926
40020	0	17095
23138	0	1929
8306	2	25327
30166	0	5644
36968	0	18425
13604	2	251
37309	0	30216
38488	0	19873
21703	2	1136
4485	0	608
40567	0	29777
13128	0	959
40568	0	18
37609	0	25129
40569	0	35564
40570	0	15247
15936	0	23068
40571	0	32910
14004	0	25065
32733	0	248
30194	0	7722
23606	0	4877
30622	0	2318
4423	0	24850
25625	5	2176
29637	0	28168
19621	0	11241
17924	0	7315
13300	0	11301
20006	0	608
40242	0	24346
8110	0	12168
40572	0	1784
27441	0	25270
40573	0	10981
24894	0	7247
17047	0	13439
40574	0	3005
1482	0	13752
3761	0	8987
38386	0	1904
38875	0	2318
3509	0	3407
35086	0	1929
23744	0	296
36798	0	51
26868	0	6233
37434	0	917
20402	0	16155
30004	0	2482
39024	0	29467
36561	5	129
5940	0	532
40576	0	10613
6386	0	26454
31630	0	33081
9757	0	608
33864	0	13576
8643	0	1819
27467	0	31416
26224	0	2318
23083	0	26718
21673	0	26120
24650	0	27939
27178	0	2497
931	0	2275
14758	0	9787
36898	0	1686
40579	0	16369
27870	2	2023
36825	0	20796
5335	5	9988
19366	0	20234
35882	2	2524
8199	0	15331
26871	0	2084
23792	0	30977
40580	0	35896
3303	0	10707
17408	0	4099
23226	0	34449
39465	0	16668
16257	0	23562
11490	2	2023
5949	0	3779
23795	2	2580
15250	5	2644
25065	0	4789
5259	0	9217
8811	0	2340
2887	0	2938
3850	0	160
30234	0	2731
46	0	14274
29358	0	2687
33543	0	40581
21406	0	608
31958	5	914
34858	0	18783
36714	0	38851
30857	0	30511
39987	0	81
5785	0	26217
16634	0	9747
32975	0	9558
14212	0	14737
4130	0	3621
40582	0	5310
33711	5	19257
26578	0	239
40583	0	608
33594	2	121
36945	0	296
13398	0	71
20939	0	2215
1947	0	1249
3254	0	2886
27600	0	7589
1110	0	20337
24159	0	12803
26948	2	3620
37272	0	7800
33783	2	1326
26315	0	19366
18160	0	1200
40037	0	19153
7751	0	3712
32325	0	17590
40584	2	26169
40585	2	1646
40586	0	379
34243	0	1244
40587	0	4921
40588	2	1646
33081	0	3606
17141	0	21055
35918	0	391
11891	5	16320
15523	0	2604
28595	0	608
31376	2	743
39780	0	2807
28371	2	121
15011	0	1542
26009	0	265
11480	2	1534
40589	0	4407
28656	0	21
6493	0	3567
21912	0	22347
22121	0	351
36889	0	883
40590	0	14144
40591	0	608
19922	0	8858
26662	0	7523
26756	0	9311
25514	2	121
13239	0	284
4425	0	9880
20341	2	121
10121	0	248
1444	0	9048
37317	0	6230
4385	0	4940
40592	0	1672
28472	5	10737
21537	0	1027
1118	5	172
12699	0	2137
27906	0	19986
39950	0	2362
16469	0	178
31063	0	2110
39272	0	12035
40593	0	5243
18271	0	3443
40594	2	593
40548	0	16045
20767	0	239
34053	2	121
3223	0	3161
38969	0	16196
29347	0	1461
2245	0	2918
39701	0	5987
24327	0	3027
21811	0	278
511	0	15897
15736	0	1677
34932	2	14540
9637	5	1981
16669	2	916
7495	0	883
21737	0	2589
32383	0	427
25046	2	121
16023	0	4958
20175	0	7143
34239	0	239
35226	0	37189
2813	0	3170
15364	0	4369
17745	5	774
6782	5	5167
40595	0	25921
20079	0	4369
3083	0	26431
5974	0	9758
19	0	29519
36200	0	5055
40597	0	11084
27811	2	10916
15792	0	3763
35060	0	5892
1366	0	29
38369	0	51
6037	0	39187
2381	2	12273
6513	0	650
40598	0	9525
21181	5	232
38752	0	728
36734	5	985
12641	0	39
1398	0	19101
4555	0	1115
25660	5	4520
38151	0	7155
5768	0	1444
39121	5	172
40599	0	608
35764	0	14617
4608	0	3699
8852	0	7403
7396	0	39
24011	0	12474
12211	0	6042
29422	2	1136
33294	0	3229
16200	0	1852
31153	0	36722
28456	2	1773
18716	0	37537
332	0	1287
40600	0	32275
16065	0	36140
37285	0	184
16074	0	18268
6054	0	4123
40601	5	774
3215	0	7911
493	0	1629
40602	0	10090
35179	0	19119
28508	2	3843
25746	0	11870
15305	5	2978
14631	0	3275
8260	0	7895
40603	2	3317
40604	0	19420
15231	0	532
24056	0	9777
32748	2	743
28857	0	706
19163	0	18538
28721	0	15897
6989	0	2604
29143	0	278
40605	0	38876
32794	0	18895
17745	2	1137
14588	2	121
20434	0	21190
40606	0	5636
33324	0	284
39131	0	284
33742	0	9048
9578	0	473
19754	0	4059
8574	0	5381
36608	0	123
516	0	292
19951	0	20010
40607	0	28344
24652	0	26678
27632	0	31556
20014	0	14262
31050	2	121
40608	0	16573
40609	0	39415
